date,temp_max,temp_min,temp,feelslike,humidity,dew,precip,precip_prob,snow,windgust,windspeed,winddir,pressure,cloudcover,visibility,uvindex,sunrise,sunset,conditions,description
22-07-2024,27.9,20.2,23.7,24.1,82.3,20.4,0.2,100,0,55.8,31.7,253.5,1012.8,82.4,5.7,5,06:03:06,18:49:12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
23-07-2024,28.0,21.4,24.1,24.4,83.3,21.0,0.5,100,0,54.0,29.5,248.5,1013.5,83.7,5.6,6,06:03:21,18:49:00,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
24-07-2024,26.0,20.4,23.0,23.0,86.2,20.5,3.0,100,0,61.6,26.1,249.4,1011.9,78.7,6.0,5,06:03:35,18:48:48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
25-07-2024,26.9,20.4,22.9,23.0,89.4,21.0,0.5,100,0,76.7,33.8,252.6,1010.3,88.5,5.5,7,06:03:49,18:48:35,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
26-07-2024,27.9,21.0,23.6,24.0,85.7,21.0,0.9,100,0,67.7,29.7,260.3,1010.6,74.4,5.7,5,06:04:03,18:48:20,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
27-07-2024,29.0,20.9,24.4,24.8,77.7,20.0,0.3,100,0,64.1,33.6,264.4,1011.1,79.8,6.4,8,06:04:17,18:48:05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
28-07-2024,26.0,21.7,23.7,23.7,80.9,20.2,0.3,100,0,61.9,29.0,250.5,1009.4,60.5,6.5,5,06:04:30,18:47:49,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
29-07-2024,29.0,21.2,24.5,25.0,80.9,20.9,4.0,100,0,57.6,29.5,245.5,1008.8,70.3,6.4,6,06:04:43,18:47:32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
30-07-2024,27.0,21.1,23.3,23.5,87.9,21.1,4.5,100,0,49.3,28.0,239.8,1012.2,83.4,6.1,5,06:04:56,18:47:15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
31-07-2024,28.8,20.4,23.3,23.7,86.6,20.9,28.0,100,0,47.9,22.1,244.5,1013.3,78.5,5.8,5,06:05:08,18:46:56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
01-08-2024,27.8,20.4,23.4,23.6,85.9,20.8,0.5,100,0,43.6,25.8,248.3,1013.2,68.8,6.6,4,06:05:20,18:46:36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
02-08-2024,27.9,20.9,23.6,24.0,88.1,21.5,2.5,100,0,50.4,24.2,245.9,1013.1,88.2,5.8,6,06:05:32,18:46:16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
03-08-2024,27.9,20.4,23.8,24.1,84.3,20.9,5.2,100,0,49.3,22.4,248.8,1014.1,86.6,6.3,6,06:05:43,18:45:55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
